"","Date","AQI"
"657",2016-10-18,438
"658",2016-10-19,428
"659",2016-10-20,425
"660",2016-10-21,496
"661",2016-10-22,472
"662",2016-10-23,470
"663",2016-10-24,454
"664",2016-10-25,396
"665",2016-10-26,413
"666",2016-10-27,558
"667",2016-10-28,570
"668",2016-10-29,554
"669",2016-10-30,522
"670",2016-10-31,520
"671",2016-11-01,550
"672",2016-11-02,593
"673",2016-11-03,625
"674",2016-11-04,480
"675",2016-11-05,603
"676",2016-11-06,676
"677",2016-11-07,716
"678",2016-11-08,542
"679",2016-11-09,455
"680",2016-11-10,471
"681",2016-11-11,514
"682",2016-11-12,491
"683",2016-11-13,469
"684",2016-11-14,404
"685",2016-11-15,379
"686",2016-11-16,428
"687",2016-11-17,504
"688",2016-11-18,512
"689",2016-11-19,494
"690",2016-11-20,438
"691",2016-11-21,474
"692",2016-11-22,471
"693",2016-11-23,432
"694",2016-11-24,397
"695",2016-11-25,375
"696",2016-11-26,330
"697",2016-11-27,347
"698",2016-11-28,274
"699",2016-11-29,360
"700",2016-11-30,441
"701",2016-12-01,418
"702",2016-12-02,474
"703",2016-12-03,419
"704",2016-12-04,379
"705",2016-12-05,389
"706",2016-12-06,402
"707",2016-12-07,472
"708",2016-12-08,422
"709",2016-12-09,443
"710",2016-12-10,413
"711",2016-12-11,351
"712",2016-12-12,418
"713",2016-12-13,413
"714",2016-12-14,379
"715",2016-12-15,359
"716",2016-12-16,390
"717",2016-12-17,437
"718",2016-12-18,411
"719",2016-12-19,443
"720",2016-12-20,377
"721",2016-12-21,317
"722",2016-12-22,349
"723",2016-12-23,470
"724",2016-12-24,576
"725",2016-12-25,412
"726",2016-12-26,338
"727",2016-12-27,319
"728",2016-12-28,455
"729",2016-12-29,524
"730",2016-12-30,381
"731",2016-12-31,338
"732",2017-01-01,332
"733",2017-01-02,384
"734",2017-01-03,373
"735",2017-01-04,439
"736",2017-01-05,318
"737",2017-01-06,390
"738",2017-01-07,332
"739",2017-01-08,283
"740",2017-01-09,300
"741",2017-01-10,305
"742",2017-01-11,337
"743",2017-01-12,417
"744",2017-01-13,426
"745",2017-01-14,439
"746",2017-01-15,382
"747",2017-01-16,397
"748",2017-01-17,330
"749",2017-01-18,358
"750",2017-01-19,376
"751",2017-01-20,334
"752",2017-01-21,387
"753",2017-01-22,446
"754",2017-01-23,379
"755",2017-01-24,375
"756",2017-01-25,450
"757",2017-01-26,340
"758",2017-01-27,203
"759",2017-01-28,236
"760",2017-01-29,252
"761",2017-01-30,302
"762",2017-01-31,358
"763",2017-02-01,317
"764",2017-02-02,387
"765",2017-02-03,438
"766",2017-02-04,407
"767",2017-02-05,312
"768",2017-02-06,367
"769",2017-02-07,263
"770",2017-02-08,287
"771",2017-02-09,346
"772",2017-02-10,314
"773",2017-02-11,314
"774",2017-02-12,314
"775",2017-02-13,298
"776",2017-02-14,319
"777",2017-02-15,382
"778",2017-02-16,352
"779",2017-02-17,309
"780",2017-02-18,301
"781",2017-02-19,274
"782",2017-02-20,313
"783",2017-02-21,310
"784",2017-02-22,258
"785",2017-02-23,238
"786",2017-02-24,449
"787",2017-02-25,516
"788",2017-02-26,520
"789",2017-02-27,363
"790",2017-02-28,362
"791",2017-03-01,397
"792",2017-03-02,280
"793",2017-03-03,206
"794",2017-03-04,190
"795",2017-03-05,210
"796",2017-03-06,201
"797",2017-03-07,243
"798",2017-03-08,267
"799",2017-03-09,245
"800",2017-03-10,165
"801",2017-03-11,102
"802",2017-03-12,159
"803",2017-03-13,174
"804",2017-03-14,270
"805",2017-03-15,397
"806",2017-03-16,371
"807",2017-03-17,328
"808",2017-03-18,254
"809",2017-03-19,342
"810",2017-03-20,367
"811",2017-03-21,400
"812",2017-03-22,390
"813",2017-03-23,417
"814",2017-03-24,359
"815",2017-03-25,309
"816",2017-03-26,292
"817",2017-03-27,278
"818",2017-03-28,320
"819",2017-03-29,350
"820",2017-03-30,234
"821",2017-03-31,233
"822",2017-04-01,341
"823",2017-04-02,259
"824",2017-04-03,204
"825",2017-04-04,220
"826",2017-04-05,255
"827",2017-04-06,211
"828",2017-04-07,428
"829",2017-04-08,497
"830",2017-04-09,289
"831",2017-04-10,285
"832",2017-04-11,368
"833",2017-04-12,304
"834",2017-04-13,377
"835",2017-04-14,418
"836",2017-04-15,355
"837",2017-04-16,416
"838",2017-04-17,403
"839",2017-04-18,415
"840",2017-04-19,412
"841",2017-04-20,394
"842",2017-04-21,357
"843",2017-04-22,291
"844",2017-04-23,244
"845",2017-04-24,287
"846",2017-04-25,254
"847",2017-04-26,242
"848",2017-04-27,223
"849",2017-04-28,243
"850",2017-04-29,237
"851",2017-04-30,275
"852",2017-05-01,183
"853",2017-05-02,370
"854",2017-05-03,419
"855",2017-05-04,317
"856",2017-05-05,455
"857",2017-05-06,435
"858",2017-05-07,468
"859",2017-05-08,442
"860",2017-05-09,400
"861",2017-05-10,223
"862",2017-05-11,220
"863",2017-05-12,474
"864",2017-05-13,479
"865",2017-05-14,373
"866",2017-05-15,354
"867",2017-05-16,349
"868",2017-05-17,264
"869",2017-05-18,188
"870",2017-05-19,294
"871",2017-05-20,334
"872",2017-05-21,505
"873",2017-05-22,349
"874",2017-05-23,421
"875",2017-05-24,238
"876",2017-05-25,204
"877",2017-05-26,289
"878",2017-05-27,236
"879",2017-05-28,148
"880",2017-05-29,94
"881",2017-05-30,130
"882",2017-05-31,123
"883",2017-06-01,192
"884",2017-06-02,324
"885",2017-06-03,357
"886",2017-06-04,393
"887",2017-06-05,302
"888",2017-06-06,239
"889",2017-06-07,210
"890",2017-06-08,77
"891",2017-06-09,89
"892",2017-06-10,143
"893",2017-06-11,80
"894",2017-06-12,92
"895",2017-06-13,112
"896",2017-06-14,117
"897",2017-06-15,101
"898",2017-06-16,106
"899",2017-06-17,88
"900",2017-06-18,94
"901",2017-06-19,150
"902",2017-06-20,97
"903",2017-06-21,109
"904",2017-06-22,124
"905",2017-06-23,117.5
"906",2017-06-24,111
"907",2017-06-25,148
"908",2017-06-26,108
"909",2017-06-27,73
"910",2017-06-28,58
"911",2017-06-29,58
"912",2017-06-30,46
"913",2017-07-01,84
"914",2017-07-02,54
"915",2017-07-03,49
"916",2017-07-04,149
"917",2017-07-05,212
"918",2017-07-06,85
"919",2017-07-07,77
"920",2017-07-08,65
"921",2017-07-09,108
"922",2017-07-10,78
"923",2017-07-11,59
"924",2017-07-12,47
"925",2017-07-13,39
"926",2017-07-14,40
"927",2017-07-15,56
"928",2017-07-16,65
"929",2017-07-17,71
"930",2017-07-18,97
"931",2017-07-19,118
